epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5410.71,1.06907,1.22499,1.39987,0.63942,0.5698,0.60289,0.39758,1.40074,1.48009,1.65642,0.00113898,0.00113898,0.00113898
43,5530.24,1.08075,1.2072,1.39236,0.61261,0.57837,0.59814,0.40779,1.37471,1.45077,1.65493,0.00113191,0.00113191,0.00113191
44,5655.77,1.05034,1.20652,1.38329,0.61879,0.54569,0.58132,0.38525,1.4149,1.49347,1.67462,0.00112484,0.00112484,0.00112484
45,5764.23,1.05119,1.19705,1.38527,0.61029,0.59153,0.59648,0.41327,1.34212,1.41014,1.62168,0.00111776,0.00111776,0.00111776
46,5894.19,1.01569,1.18438,1.35901,0.59317,0.59362,0.58751,0.39904,1.38519,1.43096,1.68155,0.00111069,0.00111069,0.00111069
47,6020.77,1.04968,1.18087,1.37066,0.60275,0.56769,0.58382,0.38969,1.38174,1.44265,1.65887,0.00110362,0.00110362,0.00110362
48,6127.06,1.01803,1.16087,1.36023,0.63379,0.58184,0.60446,0.41182,1.35108,1.41515,1.6247,0.00109654,0.00109654,0.00109654
49,6249.78,1.04981,1.18049,1.38292,0.64015,0.57629,0.59978,0.411,1.36445,1.40365,1.62988,0.00108947,0.00108947,0.00108947
50,6388.86,1.01136,1.12683,1.34502,0.60232,0.57531,0.57696,0.39638,1.37607,1.45963,1.65751,0.0010824,0.0010824,0.0010824
51,6493.68,1.00645,1.12801,1.3411,0.63604,0.60053,0.60289,0.41126,1.37133,1.40172,1.65868,0.00107532,0.00107532,0.00107532
52,6613.96,0.99788,1.11231,1.34973,0.66561,0.56375,0.60579,0.40057,1.40787,1.3858,1.66485,0.00106825,0.00106825,0.00106825
53,6763.02,0.99465,1.10622,1.3453,0.65495,0.56974,0.60548,0.40935,1.37985,1.3827,1.66796,0.00106118,0.00106118,0.00106118
54,6907.14,1.00099,1.10695,1.33584,0.57849,0.5925,0.58991,0.39763,1.36327,1.43239,1.62981,0.0010541,0.0010541,0.0010541
55,7084.77,1.01325,1.09893,1.32916,0.63906,0.61043,0.60655,0.41223,1.35657,1.39781,1.61982,0.00104703,0.00104703,0.00104703
56,7185.54,0.96969,1.06355,1.32036,0.62171,0.60825,0.60848,0.41212,1.39335,1.40718,1.64943,0.00103995,0.00103995,0.00103995
57,7296.86,0.99006,1.08032,1.33263,0.661,0.58797,0.60118,0.40886,1.39755,1.39602,1.66441,0.00103288,0.00103288,0.00103288
58,7448.38,0.95796,1.0533,1.32017,0.61295,0.60708,0.60114,0.40616,1.36155,1.42072,1.65033,0.00102581,0.00102581,0.00102581
59,7548.91,0.96833,1.06843,1.32141,0.65162,0.57434,0.60471,0.41601,1.33211,1.35516,1.61334,0.00101873,0.00101873,0.00101873
60,7667.03,0.95945,1.04573,1.30903,0.61171,0.64899,0.61867,0.4248,1.33845,1.35089,1.62533,0.00101166,0.00101166,0.00101166
61,7816.56,0.94581,1.00706,1.31101,0.6387,0.58492,0.59994,0.41053,1.31656,1.40764,1.5979,0.00100459,0.00100459,0.00100459
62,7917.61,0.95869,1.01467,1.30175,0.70864,0.56698,0.61432,0.4159,1.3534,1.38897,1.63661,0.000997513,0.000997513,0.000997513
63,8020.83,0.93933,0.99863,1.29535,0.63745,0.59835,0.60912,0.41158,1.3587,1.40944,1.63981,0.00099044,0.00099044,0.00099044
64,8123.78,0.93219,0.97893,1.29224,0.67672,0.58957,0.62222,0.42216,1.33625,1.36251,1.6205,0.000983366,0.000983366,0.000983366
65,8226.45,0.95539,0.97547,1.30257,0.66076,0.55708,0.598,0.4037,1.38339,1.43935,1.64099,0.000976293,0.000976293,0.000976293
66,8345.68,0.93358,0.95544,1.27793,0.67497,0.59456,0.62037,0.42405,1.3314,1.36375,1.61885,0.000969219,0.000969219,0.000969219
67,8458.56,0.91401,0.94345,1.28223,0.68449,0.58365,0.62477,0.4256,1.33435,1.38312,1.61564,0.000962146,0.000962146,0.000962146
68,8560.99,0.90969,0.96939,1.27537,0.65475,0.58441,0.60795,0.42099,1.35035,1.43587,1.6395,0.000955072,0.000955072,0.000955072
69,8671.83,0.9077,0.95631,1.27725,0.62737,0.6007,0.60842,0.42386,1.37072,1.39678,1.63538,0.000947999,0.000947999,0.000947999
70,8778.87,0.89678,0.92343,1.25479,0.61159,0.61968,0.60773,0.40845,1.36478,1.3909,1.65868,0.000940925,0.000940925,0.000940925
71,8882.19,0.89401,0.91253,1.25624,0.61556,0.62177,0.60842,0.41605,1.37339,1.39363,1.65101,0.000933851,0.000933851,0.000933851
72,8999.49,0.9008,0.92583,1.26063,0.64695,0.60584,0.6032,0.41144,1.35372,1.37808,1.64879,0.000926778,0.000926778,0.000926778
73,9102.96,0.89404,0.91965,1.26001,0.65077,0.59915,0.61849,0.42372,1.32968,1.32743,1.60744,0.000919704,0.000919704,0.000919704
74,9209.61,0.88798,0.93704,1.25806,0.66296,0.59806,0.62262,0.42222,1.36786,1.33588,1.66929,0.000912631,0.000912631,0.000912631
75,9325.71,0.88048,0.90281,1.24166,0.64706,0.60986,0.62204,0.42428,1.33974,1.37131,1.62982,0.000905557,0.000905557,0.000905557
76,9504.21,0.88903,0.90536,1.25206,0.66405,0.59715,0.61821,0.42363,1.35941,1.36374,1.65423,0.000898484,0.000898484,0.000898484
77,9604.25,0.87414,0.8793,1.23706,0.64604,0.59591,0.61262,0.42163,1.35378,1.3644,1.64652,0.00089141,0.00089141,0.00089141
78,9716.1,0.87621,0.90024,1.24347,0.63304,0.5825,0.6067,0.41377,1.33762,1.41423,1.67296,0.000884337,0.000884337,0.000884337
79,9855.76,0.87229,0.88508,1.24532,0.66596,0.60912,0.62382,0.42428,1.35785,1.3311,1.66658,0.000877263,0.000877263,0.000877263
80,9957.2,0.83972,0.89129,1.22691,0.64205,0.60654,0.6017,0.41094,1.34151,1.3634,1.6493,0.00087019,0.00087019,0.00087019
81,10076.6,0.85705,0.85829,1.23435,0.69967,0.57874,0.62028,0.41884,1.34471,1.37098,1.64748,0.000863116,0.000863116,0.000863116
82,10220.4,0.87476,0.85898,1.24322,0.61522,0.63898,0.61625,0.42055,1.33325,1.38057,1.6344,0.000856042,0.000856042,0.000856042
83,10324.3,0.85975,0.86559,1.23297,0.6748,0.57748,0.61224,0.42302,1.35083,1.40665,1.66419,0.000848969,0.000848969,0.000848969
84,10444.8,0.84795,0.83111,1.21657,0.6757,0.60043,0.62729,0.42988,1.37136,1.34573,1.68669,0.000841895,0.000841895,0.000841895
85,10597.6,0.82054,0.82975,1.21463,0.66958,0.60587,0.61351,0.41784,1.36607,1.44741,1.67039,0.000834822,0.000834822,0.000834822
86,10715.8,0.83683,0.83403,1.22117,0.66792,0.61048,0.60766,0.41573,1.37274,1.39836,1.69049,0.000827748,0.000827748,0.000827748
87,10819.1,0.83543,0.82494,1.21686,0.69418,0.58076,0.61796,0.42481,1.34745,1.3548,1.66632,0.000820675,0.000820675,0.000820675
88,10921.4,0.82087,0.82222,1.20988,0.63998,0.6185,0.6281,0.42623,1.36843,1.32473,1.66717,0.000813601,0.000813601,0.000813601
89,11035.6,0.83531,0.83232,1.21384,0.65505,0.60477,0.61487,0.41675,1.3719,1.36556,1.68578,0.000806528,0.000806528,0.000806528
90,11173.5,0.81508,0.79262,1.19355,0.6947,0.60476,0.61851,0.42112,1.36725,1.3591,1.69729,0.000799454,0.000799454,0.000799454
91,11274.7,0.79917,0.79935,1.20351,0.67633,0.59164,0.60905,0.42518,1.33426,1.34446,1.65483,0.00079238,0.00079238,0.00079238
92,11385.6,0.8232,0.80444,1.20169,0.66941,0.60216,0.61467,0.4288,1.34731,1.37142,1.66633,0.000785307,0.000785307,0.000785307
93,11555.9,0.80548,0.78398,1.1974,0.65357,0.60315,0.61178,0.42026,1.3476,1.38325,1.66772,0.000778233,0.000778233,0.000778233
94,11680,0.79082,0.77982,1.18089,0.71728,0.57757,0.62533,0.43033,1.36221,1.35655,1.6841,0.00077116,0.00077116,0.00077116
95,11784.6,0.79385,0.76766,1.19167,0.6597,0.59008,0.6058,0.40918,1.34435,1.3627,1.67711,0.000764086,0.000764086,0.000764086
96,11887.3,0.79549,0.79181,1.1942,0.6727,0.60359,0.61948,0.424,1.37587,1.37659,1.68947,0.000757013,0.000757013,0.000757013
97,12002.8,0.7856,0.76233,1.18659,0.66787,0.60781,0.62183,0.42187,1.34435,1.37687,1.676,0.000749939,0.000749939,0.000749939
98,12145.5,0.78638,0.75732,1.18013,0.64135,0.60694,0.60531,0.4194,1.35432,1.41207,1.66791,0.000742866,0.000742866,0.000742866
99,12246.6,0.77641,0.76416,1.17964,0.68303,0.60673,0.62492,0.43181,1.34366,1.31829,1.67155,0.000735792,0.000735792,0.000735792
100,12358.2,0.77925,0.74945,1.17154,0.66157,0.61038,0.62412,0.43245,1.35311,1.3512,1.67744,0.000728719,0.000728719,0.000728719
101,12482.8,0.77596,0.72203,1.16526,0.67432,0.59596,0.61395,0.42553,1.37934,1.39792,1.71139,0.000721645,0.000721645,0.000721645
102,12616.6,0.76641,0.74012,1.16803,0.71069,0.5929,0.62489,0.4331,1.32197,1.28283,1.65079,0.000714571,0.000714571,0.000714571
103,12781.2,0.74056,0.70873,1.16594,0.71094,0.58652,0.62822,0.42817,1.34433,1.37806,1.67494,0.000707498,0.000707498,0.000707498
104,12882.3,0.75538,0.72169,1.15722,0.65497,0.59542,0.61841,0.42801,1.32946,1.34852,1.66952,0.000700424,0.000700424,0.000700424
105,12997.7,0.7412,0.71685,1.15823,0.68858,0.57328,0.6098,0.41735,1.35736,1.4191,1.6899,0.000693351,0.000693351,0.000693351
106,13196.2,0.73874,0.71396,1.16073,0.67207,0.5989,0.61328,0.42971,1.35666,1.34333,1.6817,0.000686277,0.000686277,0.000686277
107,13296.7,0.75561,0.71556,1.15945,0.68557,0.60123,0.62531,0.42904,1.33997,1.36323,1.67269,0.000679204,0.000679204,0.000679204
108,13413.7,0.7672,0.72038,1.16545,0.71216,0.58564,0.62493,0.42742,1.36036,1.38651,1.67633,0.00067213,0.00067213,0.00067213
109,13555.3,0.73025,0.68009,1.14684,0.69999,0.58265,0.62196,0.43401,1.34923,1.3597,1.68072,0.000665057,0.000665057,0.000665057
