epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,22675.5,0.51311,0.44368,1.01146,0.69484,0.60988,0.62332,0.44435,1.36999,1.46356,1.77227,0.000162835,0.000162835,0.000162835
181,22871.3,0.52149,0.44774,1.01803,0.69213,0.61698,0.62291,0.44861,1.34977,1.44734,1.7544,0.000155761,0.000155761,0.000155761
182,23023.6,0.51652,0.45094,1.01352,0.72679,0.59367,0.62262,0.44268,1.37964,1.47761,1.7801,0.000148687,0.000148687,0.000148687
183,23188.4,0.50902,0.44047,1.01403,0.70714,0.61843,0.61822,0.44198,1.38198,1.48564,1.78256,0.000141614,0.000141614,0.000141614
184,23292.1,0.49645,0.43108,1.00406,0.70489,0.61037,0.62281,0.44223,1.39585,1.46671,1.79357,0.00013454,0.00013454,0.00013454
185,23411.8,0.50076,0.43507,1.00842,0.71511,0.59723,0.62278,0.4418,1.39411,1.45835,1.79434,0.000127467,0.000127467,0.000127467
186,23584.6,0.49604,0.42901,1.00677,0.66725,0.62529,0.62186,0.44342,1.38404,1.47294,1.78015,0.000120393,0.000120393,0.000120393
187,23687.6,0.49179,0.42262,0.99918,0.67172,0.62275,0.62074,0.44354,1.38865,1.47137,1.78641,0.00011332,0.00011332,0.00011332
188,23800.4,0.48696,0.42657,0.99722,0.72129,0.5986,0.6203,0.44004,1.39096,1.47451,1.79585,0.000106246,0.000106246,0.000106246
189,23950.5,0.50601,0.42465,1.01268,0.71275,0.59095,0.61382,0.43726,1.40151,1.48821,1.80628,9.91726e-05,9.91726e-05,9.91726e-05
190,24053.7,0.49431,0.43045,1.00784,0.72471,0.59446,0.62163,0.43947,1.37834,1.47509,1.77635,9.20991e-05,9.20991e-05,9.20991e-05
191,24182,0.40144,0.29292,0.91633,0.71659,0.57997,0.60362,0.42806,1.43476,1.51338,1.84742,8.50255e-05,8.50255e-05,8.50255e-05
192,24284.3,0.39753,0.27767,0.90853,0.72326,0.58493,0.60858,0.43066,1.41286,1.46858,1.82492,7.7952e-05,7.7952e-05,7.7952e-05
193,24399,0.39135,0.27697,0.91366,0.73417,0.58945,0.616,0.43521,1.40021,1.46793,1.81364,7.08784e-05,7.08784e-05,7.08784e-05
194,24597.2,0.37418,0.26264,0.90135,0.73698,0.58695,0.61641,0.43798,1.38557,1.46391,1.79471,6.38049e-05,6.38049e-05,6.38049e-05
195,24698.2,0.36927,0.26078,0.89759,0.71712,0.59471,0.61974,0.43639,1.38691,1.44826,1.80275,5.67313e-05,5.67313e-05,5.67313e-05
196,24817.6,0.37451,0.26211,0.90244,0.72765,0.59411,0.61932,0.43769,1.39465,1.46701,1.81202,4.96578e-05,4.96578e-05,4.96578e-05
197,24970.6,0.37,0.25987,0.90066,0.73358,0.58539,0.61573,0.43656,1.39485,1.50138,1.80775,4.25842e-05,4.25842e-05,4.25842e-05
198,25080.9,0.36703,0.26046,0.90001,0.70233,0.60536,0.62086,0.44006,1.39249,1.47747,1.80521,3.55107e-05,3.55107e-05,3.55107e-05
199,25194.4,0.35707,0.24678,0.88983,0.70505,0.59862,0.62485,0.44076,1.38838,1.47109,1.8064,2.84371e-05,2.84371e-05,2.84371e-05
200,25296.4,0.35983,0.25556,0.89024,0.70085,0.606,0.62449,0.44305,1.38779,1.47992,1.80515,2.13636e-05,2.13636e-05,2.13636e-05
